"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"21:33:16.885, 30 de jun. de 2023","1,3","0,0","607.649.792","281.560.392","4.129","0","29","26"
"21:33:17.885, 30 de jun. de 2023","0,1","0,0","607.649.792","281.563.048","4.129","0","29","26"
"21:33:18.886, 30 de jun. de 2023","0,0","0,0","607.649.792","282.551.648","4.129","0","29","26"
"21:33:19.886, 30 de jun. de 2023","0,1","0,0","607.649.792","282.554.304","4.129","0","29","26"
"21:33:20.886, 30 de jun. de 2023","0,0","0,0","607.649.792","282.556.960","4.129","0","29","26"
"21:33:21.886, 30 de jun. de 2023","0,1","0,0","607.649.792","282.559.616","4.129","0","29","26"
"21:33:22.886, 30 de jun. de 2023","0,2","0,0","607.649.792","283.548.216","4.129","0","29","26"
"21:33:23.887, 30 de jun. de 2023","0,0","0,0","607.649.792","283.553.536","4.129","0","28","25"
"21:33:24.887, 30 de jun. de 2023","0,1","0,0","607.649.792","283.556.192","4.129","0","28","25"
"21:33:25.887, 30 de jun. de 2023","0,0","0,0","607.649.792","284.570.112","4.129","0","28","25"
"21:33:26.887, 30 de jun. de 2023","0,1","0,0","607.649.792","284.601.960","4.129","0","28","25"
"21:33:27.887, 30 de jun. de 2023","48,6","0,1","545.783.808","297.770.344","4.129","0","717","714"
"21:33:28.887, 30 de jun. de 2023","48,2","0,0","545.783.808","317.929.632","4.129","0","717","714"
"21:33:29.888, 30 de jun. de 2023","45,3","0,0","545.783.808","338.101.304","4.129","0","717","714"
"21:33:30.888, 30 de jun. de 2023","48,3","0,0","545.783.808","358.381.544","4.129","0","717","714"
"21:33:31.888, 30 de jun. de 2023","45,0","0,0","545.783.808","378.567.440","4.129","0","717","714"
"21:33:32.888, 30 de jun. de 2023","49,2","0,1","597.688.320","296.968.216","4.129","0","717","714"
