"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"21:21:18.269, 30 de jun. de 2023","1,5","0,0","1.013.448.704","555.440.824","4.207","0","762","759"
"21:21:19.269, 30 de jun. de 2023","0,2","0,0","1.013.448.704","557.158.352","4.207","0","762","759"
"21:21:20.269, 30 de jun. de 2023","0,2","0,0","1.013.448.704","558.875.880","4.207","0","762","759"
"21:21:21.269, 30 de jun. de 2023","0,3","0,0","1.013.448.704","562.312.616","4.207","0","762","759"
"21:21:22.270, 30 de jun. de 2023","0,2","0,0","1.013.448.704","564.030.144","4.207","0","762","759"
"21:21:23.270, 30 de jun. de 2023","0,3","0,0","1.013.448.704","565.747.680","4.207","0","762","759"
"21:21:24.270, 30 de jun. de 2023","0,2","0,0","1.013.448.704","569.182.752","4.207","0","762","759"
"21:21:25.270, 30 de jun. de 2023","4,8","0,0","1.013.448.704","572.380.480","4.207","0","762","759"
"21:21:26.270, 30 de jun. de 2023","0,3","0,0","1.013.448.704","575.816.536","4.207","0","762","759"
"21:21:27.270, 30 de jun. de 2023","0,3","0,0","1.013.448.704","577.534.064","4.207","0","762","759"
"21:21:28.271, 30 de jun. de 2023","0,3","0,0","1.013.448.704","579.251.584","4.207","0","762","759"
"21:21:29.271, 30 de jun. de 2023","0,3","0,0","1.013.448.704","582.686.624","4.207","0","762","759"
"21:21:30.275, 30 de jun. de 2023","1,1","0,0","1.013.448.704","584.404.128","4.207","0","594","591"
"21:21:31.274, 30 de jun. de 2023","0,3","0,0","1.013.448.704","586.132.896","4.207","0","570","567"
"21:21:32.277, 30 de jun. de 2023","0,3","0,0","1.013.448.704","587.860.464","4.207","0","561","558"
"21:21:33.277, 30 de jun. de 2023","0,2","0,0","1.013.448.704","589.577.992","4.207","0","561","558"
"21:21:34.278, 30 de jun. de 2023","0,2","0,0","1.013.448.704","591.295.528","4.207","0","561","558"
"21:21:35.274, 30 de jun. de 2023","0,3","0,0","1.013.448.704","593.013.056","4.207","0","561","558"
"21:21:36.275, 30 de jun. de 2023","0,2","0,0","1.013.448.704","594.730.584","4.207","0","561","558"
"21:21:37.276, 30 de jun. de 2023","0,2","0,0","1.013.448.704","596.448.112","4.207","0","558","555"
"21:21:38.272, 30 de jun. de 2023","1,3","0,0","1.013.448.704","596.477.696","4.207","0","19","16"
"21:21:39.272, 30 de jun. de 2023","0,2","0,0","1.013.448.704","596.477.696","4.207","0","19","16"
"21:21:40.273, 30 de jun. de 2023","0,1","0,0","1.013.448.704","596.477.696","4.207","0","19","16"
"21:21:41.273, 30 de jun. de 2023","0,1","0,0","1.013.448.704","598.195.712","4.207","0","19","16"
"21:21:42.273, 30 de jun. de 2023","0,0","0,0","1.013.448.704","598.195.712","4.207","0","19","16"
"21:21:43.273, 30 de jun. de 2023","0,1","0,0","1.013.448.704","598.195.712","4.207","0","19","16"
"21:21:44.274, 30 de jun. de 2023","0,9","0,0","1.013.448.704","598.195.712","4.207","0","19","16"
"21:21:45.274, 30 de jun. de 2023","0,1","0,0","1.013.448.704","598.195.712","4.207","0","19","16"
"21:21:46.274, 30 de jun. de 2023","0,0","0,0","1.013.448.704","598.195.712","4.207","0","19","16"
"21:21:47.274, 30 de jun. de 2023","0,1","0,0","1.013.448.704","598.195.712","4.207","0","19","16"
"21:21:48.275, 30 de jun. de 2023","13,2","0,0","1.013.448.704","639.795.112","4.207","0","568","565"
