"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:24:09.268, 19 de jun. de 2023","1,6","0,0","865.599.488","262.363.976","22.151.168","21.524.376","4.442","0","21","18"
"16:24:10.268, 19 de jun. de 2023","0,0","0,0","865.599.488","262.363.976","22.151.168","21.524.792","4.442","0","21","18"
"16:24:11.268, 19 de jun. de 2023","0,1","0,0","865.599.488","262.363.976","22.151.168","21.526.480","4.442","0","21","18"
"16:24:12.268, 19 de jun. de 2023","0,2","0,0","865.599.488","262.363.976","22.151.168","21.527.160","4.442","0","21","18"
"16:24:13.269, 19 de jun. de 2023","0,1","0,0","865.599.488","263.742.480","22.151.168","21.527.160","4.442","0","21","18"
"16:24:14.269, 19 de jun. de 2023","0,0","0,0","865.599.488","263.742.480","22.151.168","21.527.160","4.442","0","21","18"
"16:24:15.269, 19 de jun. de 2023","0,2","0,0","865.599.488","263.742.480","22.151.168","21.527.160","4.442","0","21","18"
"16:24:16.270, 19 de jun. de 2023","0,0","0,0","865.599.488","263.742.480","22.151.168","21.529.288","4.443","0","21","18"
"16:24:17.270, 19 de jun. de 2023","0,1","0,0","865.599.488","263.742.480","22.151.168","21.529.288","4.443","0","21","18"
"16:24:18.270, 19 de jun. de 2023","0,1","0,0","865.599.488","265.120.968","22.151.168","21.529.288","4.443","0","21","18"
"16:24:19.270, 19 de jun. de 2023","44,3","0,0","865.599.488","332.133.672","22.151.168","21.534.248","4.443","0","721","718"
"16:24:20.271, 19 de jun. de 2023","73,5","0,0","865.599.488","356.439.048","22.151.168","21.542.472","4.443","0","721","718"
"16:24:21.271, 19 de jun. de 2023","50,8","0,0","865.599.488","381.440.696","22.151.168","21.542.472","4.443","0","721","718"
"16:24:22.271, 19 de jun. de 2023","53,5","0,0","865.599.488","405.300.232","22.151.168","21.542.472","4.443","0","721","718"
"16:24:23.271, 19 de jun. de 2023","47,6","0,0","865.599.488","429.468.320","22.151.168","21.543.320","4.443","0","721","718"
"16:24:24.271, 19 de jun. de 2023","50,7","0,1","760.741.888","240.965.240","22.151.168","21.546.832","4.444","0","721","718"
"16:24:25.271, 19 de jun. de 2023","47,3","0,0","760.741.888","265.752.184","22.151.168","21.547.224","4.444","0","721","718"
"16:24:26.271, 19 de jun. de 2023","47,7","0,0","760.741.888","291.829.008","22.151.168","21.549.832","4.445","0","721","718"
"16:24:27.271, 19 de jun. de 2023","47,6","0,0","760.741.888","316.434.296","22.151.168","21.549.832","4.445","0","721","718"
"16:24:28.272, 19 de jun. de 2023","47,5","0,0","760.741.888","341.089.384","22.151.168","21.549.832","4.445","0","721","718"
"16:24:29.272, 19 de jun. de 2023","18,7","0,0","760.741.888","354.539.376","22.151.168","21.549.832","4.445","0","721","718"
"16:24:30.272, 19 de jun. de 2023","0,3","0,0","760.741.888","355.943.160","22.151.168","21.549.832","4.445","0","721","718"
"16:24:31.273, 19 de jun. de 2023","0,3","0,0","760.741.888","358.750.752","22.151.168","21.549.832","4.445","0","721","718"
"16:24:32.273, 19 de jun. de 2023","0,3","0,0","760.741.888","360.154.536","22.151.168","21.549.832","4.445","0","721","718"
"16:24:33.273, 19 de jun. de 2023","0,2","0,0","760.741.888","362.962.104","22.151.168","21.549.832","4.445","0","721","718"
"16:24:34.273, 19 de jun. de 2023","0,3","0,0","760.741.888","365.769.640","22.151.168","21.549.832","4.445","0","721","718"
"16:24:35.274, 19 de jun. de 2023","0,3","0,0","760.741.888","367.173.424","22.151.168","21.549.832","4.445","0","721","718"
"16:24:36.274, 19 de jun. de 2023","0,2","0,0","760.741.888","369.980.968","22.151.168","21.549.832","4.445","0","721","718"
"16:24:37.274, 19 de jun. de 2023","0,2","0,0","760.741.888","371.384.752","22.151.168","21.549.832","4.445","0","721","718"
"16:24:38.275, 19 de jun. de 2023","0,3","0,0","760.741.888","374.192.304","22.151.168","21.549.832","4.445","0","721","718"
"16:24:39.275, 19 de jun. de 2023","0,2","0,0","760.741.888","376.999.888","22.151.168","21.550.696","4.445","0","721","718"
"16:24:40.275, 19 de jun. de 2023","0,5","0,0","760.741.888","378.403.672","22.151.168","21.550.696","4.445","0","721","718"
"16:24:41.275, 19 de jun. de 2023","0,2","0,0","760.741.888","381.256.296","22.151.168","21.550.696","4.445","0","721","718"
"16:24:42.276, 19 de jun. de 2023","0,2","0,0","760.741.888","382.660.072","22.151.168","21.550.696","4.445","0","721","718"
"16:24:43.276, 19 de jun. de 2023","0,3","0,0","760.741.888","385.467.624","22.151.168","21.550.696","4.445","0","721","718"
"16:24:44.276, 19 de jun. de 2023","0,3","0,0","760.741.888","386.871.408","22.151.168","21.550.696","4.445","0","721","718"
"16:24:45.277, 19 de jun. de 2023","0,3","0,0","760.741.888","389.679.016","22.151.168","21.551.504","4.445","0","721","718"
"16:24:46.277, 19 de jun. de 2023","0,2","0,0","760.741.888","392.486.600","22.151.168","21.582.320","4.448","0","721","718"
"16:24:47.277, 19 de jun. de 2023","0,7","0,0","760.741.888","393.890.376","22.151.168","21.583.712","4.448","0","721","718"
