Type;Time [ms];CPU usage [%];GC activity [%];Size [B];Used [B];Total loaded;Shared loaded;Live;Daemon
Cached Threads;21:23:38.296, 30 de jun. de 2023;0,2;0,0;955.777.024;740.195.752;4.207;0;736;733
Cached Threads;21:23:39.296, 30 de jun. de 2023;0,7;0,0;955.777.024;742.379.512;4.207;0;736;733
Cached Threads;21:23:40.296, 30 de jun. de 2023;0,2;0,0;955.777.024;744.563.296;4.207;0;736;733
Cached Threads;21:23:41.296, 30 de jun. de 2023;0,2;0,0;955.777.024;747.904.664;4.207;0;736;733
Cached Threads;21:23:42.296, 30 de jun. de 2023;0,2;0,0;955.777.024;750.088.432;4.207;0;736;733
Cached Threads;21:23:43.296, 30 de jun. de 2023;0,2;0,0;955.777.024;752.272.216;4.207;0;736;733
Cached Threads;21:23:44.296, 30 de jun. de 2023;0,3;0,0;955.777.024;754.456.000;4.207;0;736;733
Cached Threads;21:23:45.297, 30 de jun. de 2023;0,2;0,0;955.777.024;756.639.792;4.207;0;736;733
Cached Threads;21:23:46.297, 30 de jun. de 2023;0,3;0,0;955.777.024;758.823.576;4.207;0;736;733
Cached Threads;21:23:47.297, 30 de jun. de 2023;0,2;0,0;955.777.024;761.007.360;4.207;0;736;733
Cached Threads;21:23:48.297, 30 de jun. de 2023;0,2;0,0;955.777.024;763.191.192;4.207;0;736;733
Cached Threads;21:23:49.297, 30 de jun. de 2023;0,2;0,0;955.777.024;765.374.984;4.207;0;736;733
Cached Threads;21:23:50.297, 30 de jun. de 2023;0,2;0,0;955.777.024;767.558.768;4.207;0;736;733
Cached Threads;21:23:51.297, 30 de jun. de 2023;0,3;0,0;955.777.024;769.742.560;4.207;0;736;733
Cached Threads;21:23:52.297, 30 de jun. de 2023;0,2;0,0;955.777.024;771.926.344;4.207;0;736;733
Cached Threads;21:23:53.298, 30 de jun. de 2023;0,2;0,0;955.777.024;774.110.128;4.207;0;736;733
Cached Threads;21:23:54.298, 30 de jun. de 2023;0,3;0,0;955.777.024;777.451.984;4.207;0;736;733
Cached Threads;21:23:55.298, 30 de jun. de 2023;0,2;0,0;955.777.024;779.635.768;4.207;0;736;733
Cached Threads;21:23:56.298, 30 de jun. de 2023;0,2;0,0;955.777.024;781.819.552;4.207;0;736;733
Cached Threads;21:23:57.298, 30 de jun. de 2023;0,3;0,0;955.777.024;784.003.336;4.207;0;736;733
Cached Threads;21:23:58.298, 30 de jun. de 2023;0,2;0,0;955.777.024;786.187.120;4.207;0;736;733
Cached Threads;21:23:59.298, 30 de jun. de 2023;0,2;0,0;955.777.024;788.370.952;4.207;0;736;733
Cached Threads;21:24:00.298, 30 de jun. de 2023;0,2;0,0;955.777.024;790.554.744;4.207;0;736;733
Cached Threads;21:24:01.299, 30 de jun. de 2023;0,3;0,0;955.777.024;792.738.528;4.207;0;736;733
Cached Threads;21:24:02.299, 30 de jun. de 2023;0,2;0,0;955.777.024;794.922.312;4.207;0;736;733
Cached Threads;21:24:03.299, 30 de jun. de 2023;0,2;0,0;955.777.024;797.106.096;4.207;0;736;733
Cached Threads;21:24:04.299, 30 de jun. de 2023;0,2;0,0;955.777.024;799.289.856;4.207;0;736;733
Cached Threads;21:24:05.299, 30 de jun. de 2023;0,3;0,0;955.777.024;801.473.640;4.207;0;736;733
Cached Threads;21:24:06.299, 30 de jun. de 2023;0,2;0,0;955.777.024;803.657.424;4.207;0;736;733
Cached Threads;21:24:07.299, 30 de jun. de 2023;0,2;0,0;955.777.024;806.999.808;4.207;0;736;733
