"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Live","Daemon","Total loaded","Shared loaded"
"16:18:14.647, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.513.270.312","22.347.776","21.665.776","31","28","4.468","0"
"16:18:15.647, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.513.932.720","22.347.776","21.668.384","31","28","4.468","0"
"16:18:16.647, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.514.235.240","22.347.776","21.678.104","30","27","4.468","0"
"16:18:17.648, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.514.538.216","22.347.776","21.678.968","30","27","4.468","0"
"16:18:18.648, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.514.841.712","22.347.776","21.679.400","29","26","4.468","0"
"16:18:19.648, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.515.145.224","22.347.776","21.679.400","29","26","4.468","0"
"16:18:20.648, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.515.447.816","22.347.776","21.679.400","29","26","4.468","0"
"16:18:21.649, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.515.750.320","22.347.776","21.679.816","29","26","4.468","0"
"16:18:22.649, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.516.052.816","22.347.776","21.679.816","29","26","4.468","0"
"16:18:23.649, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.516.355.288","22.347.776","21.679.816","29","26","4.468","0"
"16:18:24.649, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.516.658.848","22.347.776","21.679.816","29","26","4.468","0"
"16:18:25.650, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.516.961.848","22.347.776","21.679.816","29","26","4.468","0"
"16:18:26.650, 19 de jun. de 2023","14,5","0,0","2.441.609.216","1.578.446.432","22.347.776","21.684.976","31","28","4.468","0"
"16:18:27.650, 19 de jun. de 2023","63,6","0,0","2.441.609.216","1.636.060.400","22.347.776","21.684.976","31","28","4.468","0"
"16:18:28.650, 19 de jun. de 2023","55,5","0,0","2.441.609.216","1.682.586.872","22.347.776","21.688.960","31","28","4.468","0"
"16:18:29.650, 19 de jun. de 2023","50,5","0,0","2.441.609.216","1.730.166.576","22.347.776","21.691.168","31","28","4.469","0"
"16:18:30.651, 19 de jun. de 2023","52,4","0,0","2.441.609.216","1.774.428.480","22.347.776","21.692.608","31","28","4.469","0"
"16:18:31.651, 19 de jun. de 2023","49,8","0,0","2.441.609.216","1.820.593.064","22.347.776","21.693.984","31","28","4.469","0"
"16:18:32.651, 19 de jun. de 2023","52,1","0,0","2.441.609.216","1.867.877.656","22.347.776","21.694.032","31","28","4.469","0"
"16:18:33.651, 19 de jun. de 2023","48,6","0,0","2.441.609.216","1.912.936.656","22.347.776","21.697.512","29","26","4.469","0"
"16:18:34.651, 19 de jun. de 2023","58,3","0,9","2.441.609.216","1.466.011.744","22.347.776","21.697.512","29","26","4.469","0"
"16:18:35.652, 19 de jun. de 2023","48,4","0,0","2.441.609.216","1.514.437.736","22.347.776","21.701.024","29","26","4.470","0"
"16:18:36.652, 19 de jun. de 2023","41,3","0,0","2.441.609.216","1.551.424.656","22.347.776","21.701.416","29","26","4.470","0"
"16:18:37.652, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.551.692.248","22.347.776","21.704.024","29","26","4.471","0"
"16:18:38.652, 19 de jun. de 2023","0,8","0,0","2.441.609.216","1.551.959.840","22.347.776","21.704.024","29","26","4.471","0"
"16:18:39.653, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.552.228.432","22.347.776","21.704.024","29","26","4.471","0"
"16:18:40.653, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.552.497.024","22.347.776","21.704.024","29","26","4.471","0"
"16:18:41.653, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.553.033.696","22.347.776","21.704.024","29","26","4.471","0"
"16:18:42.654, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.553.301.272","22.347.776","21.704.024","29","26","4.471","0"
"16:18:43.654, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.553.568.848","22.347.776","21.704.024","29","26","4.471","0"
"16:18:44.654, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.553.839.232","22.347.776","21.704.024","29","26","4.471","0"
"16:18:45.654, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.554.106.800","22.347.776","21.704.024","29","26","4.471","0"
"16:18:46.655, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.554.374.368","22.347.776","21.704.024","29","26","4.471","0"
"16:18:47.655, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.554.641.968","22.347.776","21.704.024","29","26","4.471","0"
