"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"21:09:17.059, 30 de jun. de 2023","0,0","0,0","2.334.654.464","1.534.083.544","4.158","0","28","25"
"21:09:18.059, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.534.637.312","4.158","0","28","25"
"21:09:19.060, 30 de jun. de 2023","0,6","0,0","2.334.654.464","1.534.637.312","4.158","0","28","25"
"21:09:20.060, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.535.191.080","4.158","0","27","24"
"21:09:21.060, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.535.191.080","4.158","0","27","24"
"21:09:22.060, 30 de jun. de 2023","0,3","0,0","2.334.654.464","1.538.652.288","4.158","0","27","24"
"21:09:23.060, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.538.652.288","4.158","0","27","24"
"21:09:24.060, 30 de jun. de 2023","0,3","0,0","2.334.654.464","1.539.206.056","4.158","0","27","24"
"21:09:25.061, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.539.206.056","4.158","0","27","24"
"21:09:26.061, 30 de jun. de 2023","0,0","0,0","2.334.654.464","1.539.759.840","4.158","0","27","24"
"21:09:27.061, 30 de jun. de 2023","0,2","0,0","2.334.654.464","1.539.759.840","4.158","0","27","24"
"21:09:28.061, 30 de jun. de 2023","0,0","0,0","2.334.654.464","1.540.313.704","4.158","0","27","24"
"21:09:29.062, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.540.313.704","4.158","0","27","24"
"21:09:30.062, 30 de jun. de 2023","70,1","1,2","2.452.619.264","1.371.586.488","4.158","0","29","26"
"21:09:31.062, 30 de jun. de 2023","70,1","0,0","2.452.619.264","1.434.829.952","4.158","0","29","26"
"21:09:32.062, 30 de jun. de 2023","50,7","0,0","2.452.619.264","1.474.508.160","4.158","0","29","26"
"21:09:33.062, 30 de jun. de 2023","52,2","0,0","2.452.619.264","1.516.841.488","4.158","0","29","26"
"21:09:34.062, 30 de jun. de 2023","48,7","0,0","2.452.619.264","1.555.771.776","4.159","0","29","26"
"21:09:35.062, 30 de jun. de 2023","51,6","0,0","2.452.619.264","1.602.259.992","4.159","0","27","24"
"21:09:36.062, 30 de jun. de 2023","49,2","0,0","2.452.619.264","1.642.821.464","4.160","0","27","24"
"21:09:37.063, 30 de jun. de 2023","51,1","0,0","2.452.619.264","1.684.230.480","4.160","0","27","24"
"21:09:38.063, 30 de jun. de 2023","48,7","0,0","2.452.619.264","1.724.405.176","4.160","0","27","24"
"21:09:39.063, 30 de jun. de 2023","58,7","1,1","2.452.619.264","1.386.616.960","4.160","0","27","24"
"21:09:40.063, 30 de jun. de 2023","7,1","0,0","2.452.619.264","1.398.110.152","4.163","0","27","24"
"21:09:41.063, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.398.489.784","4.163","0","27","24"
"21:09:42.064, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.398.869.408","4.163","0","27","24"
"21:09:43.064, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.399.249.024","4.163","0","27","24"
"21:09:44.064, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.399.629.648","4.163","0","27","24"
"21:09:45.064, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.399.629.648","4.163","0","27","24"
"21:09:46.065, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.400.009.256","4.163","0","27","24"
"21:09:47.065, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.400.391.672","4.163","0","27","24"
"21:09:48.065, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.400.771.280","4.163","0","27","24"
"21:09:49.065, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.401.150.920","4.166","0","27","24"
"21:09:50.066, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.401.150.920","4.166","0","27","24"
"21:09:51.066, 30 de jun. de 2023","0,2","0,0","2.452.619.264","1.401.530.616","4.167","0","27","24"
"21:09:52.066, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.401.911.624","4.167","0","27","24"
"21:09:53.066, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.402.291.232","4.167","0","27","24"
"21:09:54.067, 30 de jun. de 2023","0,8","0,0","2.452.619.264","1.402.291.232","4.167","0","27","24"
"21:09:55.067, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.402.671.856","4.167","0","27","24"
"21:09:56.067, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.403.051.480","4.167","0","27","24"
"21:09:57.067, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.403.431.096","4.167","0","27","24"
"21:09:58.067, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.403.431.096","4.167","0","27","24"
"21:09:59.068, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.403.811.720","4.167","0","27","24"
"21:10:00.068, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.404.191.344","4.167","0","27","24"
"21:10:01.068, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.404.571.968","4.167","0","27","24"
"21:10:02.068, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.404.952.592","4.167","0","27","24"
"21:10:03.069, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.404.952.592","4.167","0","27","24"
"21:10:04.069, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.405.332.224","4.167","0","27","24"
"21:10:05.069, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.405.712.848","4.167","0","27","24"
"21:10:06.069, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.406.092.456","4.167","0","27","24"
"21:10:07.069, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.406.092.456","4.167","0","27","24"
"21:10:08.070, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.406.472.112","4.167","0","27","24"
"21:10:09.070, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.406.853.120","4.167","0","27","24"
"21:10:10.070, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.408.085.448","4.167","0","26","23"
