tipo;qual execução;hora;cpu;dado1;reservada;utilizada;total loaded;Shared loaded;threads;daemon
Virtual Threads;VT4;21:12:49.100, 30 de jun. de 2023;0;0;2452619264;1417921504;4167;0;27;24
Virtual Threads;VT4;21:12:50.100, 30 de jun. de 2023;0,1;0;2452619264;1418336888;4167;0;25;22
Virtual Threads;VT4;21:12:51.100, 30 de jun. de 2023;0,1;0;2452619264;1418336888;4167;0;25;22
Virtual Threads;VT4;21:12:52.100, 30 de jun. de 2023;0,3;0;2452619264;1418752208;4167;0;25;22
Virtual Threads;VT4;21:12:53.100, 30 de jun. de 2023;0;0;2452619264;1419167520;4167;0;25;22
Virtual Threads;VT4;21:12:54.101, 30 de jun. de 2023;0,1;0;2452619264;1419167520;4167;0;25;22
Virtual Threads;VT4;21:12:55.101, 30 de jun. de 2023;0;0;2452619264;1419582840;4167;0;25;22
Virtual Threads;VT4;21:12:56.101, 30 de jun. de 2023;0,1;0;2452619264;1419999144;4167;0;25;22
Virtual Threads;VT4;21:12:57.101, 30 de jun. de 2023;0,1;0;2452619264;1419999144;4167;0;25;22
Virtual Threads;VT4;21:12:58.101, 30 de jun. de 2023;0,1;0;2452619264;1420414456;4167;0;25;22
Virtual Threads;VT4;21:12:59.102, 30 de jun. de 2023;0;0;2452619264;1420829800;4167;0;25;22
Virtual Threads;VT4;21:13:00.102, 30 de jun. de 2023;0,2;0;2452619264;1420829800;4167;0;25;22
Virtual Threads;VT4;21:13:01.102, 30 de jun. de 2023;0;0;2452619264;1421246104;4167;0;25;22
Virtual Threads;VT4;21:13:02.102, 30 de jun. de 2023;0,1;0;2452619264;1421763432;4167;0;25;22
Virtual Threads;VT4;21:13:03.103, 30 de jun. de 2023;0,1;0;2452619264;1421763432;4167;0;25;22
Virtual Threads;VT4;21:13:04.103, 30 de jun. de 2023;0;0;2452619264;1422179736;4167;0;25;22
Virtual Threads;VT4;21:13:05.103, 30 de jun. de 2023;0,1;0;2452619264;1422595040;4167;0;25;22
Virtual Threads;VT4;21:13:06.103, 30 de jun. de 2023;0,1;0;2452619264;1423011344;4167;0;25;22
Virtual Threads;VT4;21:13:07.103, 30 de jun. de 2023;0;0;2452619264;1423011344;4167;0;25;22
Virtual Threads;VT4;21:13:08.104, 30 de jun. de 2023;0,1;0;2452619264;1423426648;4167;0;25;22
Virtual Threads;VT4;21:13:09.104, 30 de jun. de 2023;1,1;0;2452619264;1423842440;4167;0;25;22
Virtual Threads;VT4;21:13:10.104, 30 de jun. de 2023;0,1;0;2452619264;1424202304;4167;0;25;22
Virtual Threads;VT4;21:13:11.104, 30 de jun. de 2023;0,1;0;2452619264;1424617616;4167;0;25;22
Virtual Threads;VT4;21:13:12.105, 30 de jun. de 2023;0,1;0;2452619264;1425033920;4167;0;25;22
Virtual Threads;VT4;21:13:13.105, 30 de jun. de 2023;0,1;0;2452619264;1425033920;4167;0;25;22
Virtual Threads;VT4;21:13:14.105, 30 de jun. de 2023;0;0;2452619264;1425449224;4167;0;25;22
Virtual Threads;VT4;21:13:15.105, 30 de jun. de 2023;0,2;0;2452619264;1425864512;4167;0;25;22
Virtual Threads;VT4;21:13:16.106, 30 de jun. de 2023;0;0;2452619264;1425864512;4167;0;25;22
Virtual Threads;VT4;21:13:17.106, 30 de jun. de 2023;0,1;0;2452619264;1426279832;4167;0;25;22
Virtual Threads;VT4;21:13:18.106, 30 de jun. de 2023;0,1;0;2452619264;1426696136;4167;0;25;22
Virtual Threads;VT4;21:13:19.106, 30 de jun. de 2023;0,3;0;2452619264;1426696136;4167;0;25;22
Virtual Threads;VT4;21:13:20.106, 30 de jun. de 2023;0,1;0;2452619264;1427111464;4167;0;24;21
Virtual Threads;VT4;21:13:21.107, 30 de jun. de 2023;0,1;0;2452619264;1427526752;4167;0;24;21
Virtual Threads;VT4;21:13:22.107, 30 de jun. de 2023;0,1;0;2452619264;1427526752;4167;0;24;21
Virtual Threads;VT4;21:13:23.107, 30 de jun. de 2023;0,3;0;2452619264;1427942128;4167;0;24;21
Virtual Threads;VT4;21:13:24.107, 30 de jun. de 2023;0,1;0;2452619264;1428358432;4167;0;24;21
Virtual Threads;VT4;21:13:25.108, 30 de jun. de 2023;0,1;0;2452619264;1428358432;4167;0;24;21
Virtual Threads;VT5;21:13:26.108, 30 de jun. de 2023;0;0;2452619264;1428773720;4167;0;24;21
Virtual Threads;VT5;21:13:27.108, 30 de jun. de 2023;0,2;0;2452619264;1429189016;4167;0;24;21
Virtual Threads;VT5;21:13:28.108, 30 de jun. de 2023;0,1;0;2452619264;1429189016;4167;0;24;21
Virtual Threads;VT5;21:13:29.109, 30 de jun. de 2023;0,1;0;2452619264;1429604336;4167;0;24;21
Virtual Threads;VT5;21:13:30.109, 30 de jun. de 2023;22,6;0;2452619264;1507204496;4167;0;27;24
Virtual Threads;VT5;21:13:31.109, 30 de jun. de 2023;49,9;0;2452619264;1548409480;4167;0;27;24
Virtual Threads;VT5;21:13:32.109, 30 de jun. de 2023;50,7;0;2452619264;1589748272;4167;0;27;24
Virtual Threads;VT5;21:13:33.109, 30 de jun. de 2023;49;0;2452619264;1630468624;4167;0;27;24
Virtual Threads;VT5;21:13:34.109, 30 de jun. de 2023;52,3;0,1;2452619264;1198260880;4167;0;27;24
Virtual Threads;VT5;21:13:35.109, 30 de jun. de 2023;49,2;0;2452619264;1239966288;4167;0;27;24
